nation,pos,squad,comp,age,born,mp,starts,min,90s,goals,shots,sot,sotpct,g/sh,g/sot,shodist,shofk,shopk,pkatt,pastotcmp,pastotatt,pastotcmppct,pastotdist,pastotprgdist,passhocmp,passhoatt,passhocmppct,pasmedcmp,pasmedatt,pasmedcmppct,pasloncmp,paslonatt,pasloncmppct,assists,pasass,pas3rd,ppa,crspa,pasprog,paslive,pasdead,pasfk,tb,sw,pascrs,ti,ck,ckin,ckout,ckstr,pasoff,pasblocks,sca,scapasslive,scapassdead,scadrib,scash,scafld,scadef,gca,gcapasslive,gcapassdead,gcadrib,gcash,gcafld,gcadef,tkl,tklwon,tkldef3rd,tklmid3rd,tklatt3rd,tkldri,tkldriatt,tkldripct,tkldripast,blocks,blksh,blkpass,int,tkl_plus_int,clr,err,touches,toudefpen,toudef3rd,toumid3rd,touatt3rd,touattpen,toulive,toatt,tosuc,tosucpct,totkl,totklpct,carries,cartotdist,carprgdist,carprog,car3rd,cpa,carmis,cardis,rec,recprog,crdy,crdr,2crdy,fls,fld,off,pkwon,pkcon,og,recov,aerwon,aerlost,aerwonpct,market_value_euros,negative,neutral,positive,avgsentimentscore,player_id,total_injuries,total_days_injured,avg_days_injured,max_days_injured,recent_injury_days,goals_per90,assists_per90,shots_on_target_rate
esp,mffw,osasuna,la liga,24,1998,20,12,1222,13.6,0,1.76,0.37,20.8,0.0,0.0,24.0,0.0,0.0,0.0,40.2,48.8,82.5,778.7,254.3,16.6,18.6,89.3,17.2,19.4,88.6,5.74,8.82,65.0,0.0,0.66,5.81,0.66,0.22,5.81,46.2,2.35,1.76,0.07,1.1,1.62,0.29,0.22,0.15,0.07,0.0,0.22,0.66,2.21,1.76,0.0,0.0,0.37,0.07,0.0,0.22,0.0,0.0,0.0,0.15,0.07,0.0,1.76,1.1,0.96,0.66,0.15,0.74,1.62,45.5,0.88,0.81,0.07,0.74,0.37,2.13,1.1,0.0,57.2,2.06,13.1,32.8,11.8,0.66,57.2,0.07,0.07,100.0,0.0,0.0,31.0,130.0,68.8,0.74,0.59,0.0,1.18,0.29,37.8,1.91,0.22,0.0,0.0,1.47,0.44,0.15,0.07,0.0,0.0,6.32,0.59,0.59,50.0,7000000.0,0.5,0.3333333333333333,0.1666666666666666,-0.2668444444444444,0.0,4,108,27.0,61,21,0.0,0.0,0.21022727272727273
esp,mf,valladolid,la liga,23,1999,17,11,997,11.1,1,1.26,0.27,21.4,0.07,0.33,25.5,0.18,0.0,0.0,37.2,47.9,77.6,712.5,197.2,16.2,18.3,88.7,14.2,17.0,83.6,5.86,10.5,56.0,0.09,1.17,3.6,0.36,0.18,3.51,40.4,6.94,4.23,0.27,0.81,3.87,0.0,2.7,0.54,1.44,0.0,0.63,0.45,2.61,1.53,0.81,0.0,0.18,0.09,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,2.88,1.44,1.08,1.44,0.36,0.99,1.89,52.4,0.9,1.53,0.81,0.72,0.72,3.6,1.17,0.09,58.2,2.97,16.5,30.0,12.1,0.81,58.2,0.81,0.54,66.7,0.27,33.3,28.3,124.8,53.2,0.54,0.99,0.27,1.62,0.9,33.3,1.35,0.45,0.0,0.0,2.16,1.17,0.0,0.0,0.09,0.0,4.86,0.63,1.08,36.8,6000000.0,0.4464285714285714,0.25,0.3035714285714285,-0.1159875,0.0,4,53,13.25,31,8,0.0900900900900901,0.008108108108108109,0.2142857142857143
mex,df,espanyol,la liga,25,1997,5,4,315,3.5,0,0.29,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,22.6,30.0,75.2,493.7,157.4,5.43,6.0,90.5,13.4,15.7,85.5,3.71,8.0,46.4,0.0,0.0,0.86,0.0,0.0,1.14,28.3,1.71,1.71,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.57,0.57,0.86,0.0,0.57,0.57,100.0,0.0,1.71,1.14,0.57,1.14,2.57,8.0,0.0,44.0,7.43,24.6,18.6,0.86,0.57,44.0,0.0,0.0,0.0,0.0,0.0,16.0,71.7,37.4,0.29,0.29,0.0,0.57,0.0,18.9,0.0,0.57,0.0,0.0,1.14,0.86,0.0,0.0,0.0,0.0,4.29,2.29,2.86,44.4,6000000.0,0.3764705882352941,0.0470588235294117,0.5764705882352941,0.1222047058823529,0.0,9,161,17.88888888888889,33,16,0.0,0.0,0.0
ita,fw,sampdoria,serie a,19,2003,6,3,231,2.6,0,2.69,0.38,14.3,0.0,0.0,13.1,0.0,0.0,0.0,8.85,15.4,57.5,87.7,8.46,5.38,7.69,70.0,1.54,3.08,50.0,0.0,1.15,0.0,0.0,1.54,0.38,0.0,0.0,0.0,14.2,0.38,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.77,0.0,2.69,2.31,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.77,0.38,0.38,0.0,0.38,0.38,0.0,30.4,0.77,1.54,11.9,16.9,6.92,30.4,1.54,0.0,0.0,1.54,100.0,16.2,54.2,16.9,0.38,0.38,0.38,3.46,1.54,23.5,3.85,0.38,0.0,0.0,3.08,1.54,1.54,0.0,0.0,0.0,1.92,5.38,8.85,37.8,400000.0,0.8666666666666667,0.0666666666666666,0.0666666666666666,-0.7789966666666667,0.0,2,21,10.5,11,11,0.0,0.0,0.1412639405204461
arg,df,sevilla,la liga,26,1997,13,9,801,8.9,0,0.45,0.11,25.0,0.0,0.0,13.0,0.0,0.0,0.0,43.3,55.5,77.9,644.5,236.5,22.9,26.1,87.9,16.7,21.2,78.8,2.13,4.94,43.2,0.11,1.24,4.16,0.79,0.34,3.48,47.8,7.53,0.45,0.22,0.22,3.15,6.85,0.22,0.0,0.11,0.0,0.22,1.35,2.36,1.91,0.34,0.0,0.0,0.0,0.11,0.34,0.34,0.0,0.0,0.0,0.0,0.0,1.24,0.56,0.56,0.67,0.0,0.9,1.35,66.7,0.45,1.24,0.45,0.79,1.35,2.58,1.46,0.0,64.4,2.7,17.2,27.9,20.1,2.36,64.4,1.46,0.56,38.5,0.9,61.5,34.5,179.4,110.8,2.25,1.8,0.34,1.35,0.79,39.1,5.84,0.45,0.11,0.0,1.24,0.56,0.79,0.0,0.0,0.0,5.17,1.12,1.12,50.0,5000000.0,0.4318181818181818,0.0795454545454545,0.4886363636363636,0.019953409090909,0.0,14,236,16.857142857142858,36,31,0.0,0.012359550561797753,0.24444444444444444
ita,gk,hellas verona,serie a,26,1996,21,21,1890,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,31.8,65.2,791.7,662.6,2.33,2.38,98.0,6.9,7.1,97.3,11.3,22.0,51.4,0.0,0.0,1.71,0.05,0.0,0.0,20.8,10.9,2.9,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.33,0.1,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.05,0.0,0.05,0.0,0.0,1.1,0.1,35.4,28.3,35.1,0.43,0.0,0.0,35.4,0.0,0.0,0.0,0.0,0.0,15.4,108.5,57.6,0.0,0.05,0.0,0.19,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.86,0.1,0.1,50.0,2000000.0,0.6724137931034483,0.0517241379310344,0.2758620689655172,-0.3491637931034482,0.0,4,109,27.25,88,88,0.0,0.0,0.0
esp,df,betis,la liga,31,1991,3,3,183,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,56.0,75.0,611.5,229.5,23.0,24.5,93.9,13.5,16.5,81.8,2.5,9.5,26.3,0.0,1.0,2.5,1.0,0.5,3.5,45.0,11.0,2.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.5,2.5,1.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,1.0,4.5,2.5,0.0,65.5,4.5,22.5,33.0,10.0,0.5,65.5,0.0,0.0,0.0,0.0,0.0,33.0,103.0,51.0,0.5,0.0,0.0,1.5,0.5,40.5,2.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0,350000.0,0.4262295081967213,0.1967213114754098,0.3770491803278688,-0.0074786885245901,0.0,11,380,34.54545454545455,241,3,0.0,0.0,0.0
wal,fw,bournemouth,premier league,30,1992,20,12,1119,12.4,4,1.37,0.48,35.3,0.24,0.67,11.0,0.0,0.0,0.0,15.0,25.6,58.7,206.9,37.0,8.31,13.3,62.4,4.35,6.77,64.3,0.81,1.45,55.6,0.0,0.32,1.29,0.4,0.0,1.61,23.8,1.77,0.08,0.0,0.08,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.29,0.97,0.0,0.08,0.0,0.24,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,1.05,0.89,0.16,0.65,0.24,0.4,1.29,31.3,0.89,0.81,0.4,0.4,0.08,1.13,1.61,0.0,36.2,2.34,3.87,20.7,11.7,3.31,36.2,0.89,0.08,9.1,0.48,54.5,18.1,69.4,21.6,0.81,0.65,0.16,3.06,2.42,27.9,3.55,0.0,0.0,0.0,1.77,2.26,0.08,0.0,0.0,0.0,1.94,4.44,4.11,51.9,1200000.0,0.3661971830985915,0.2535211267605634,0.380281690140845,-0.0085225352112676,0.0,7,280,40.0,75,23,0.3225806451612903,0.0,0.3503649635036496
irl,fw,brighton,premier league,19,2003,1,0,12,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,50.0,130.0,0.0,10.0,10.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,50.0,10.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,10.0,0.0,0.0,0.0,20.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500000.0,0.5925925925925926,0.037037037037037,0.3703703703703703,-0.1858,0.0,0,0,0.0,0,0,0.0,0.0,0.0
esp,fw,atlético madrid,la liga,30,1992,20,15,1159,12.9,7,3.02,1.4,46.2,0.18,0.39,12.9,0.0,0.0,0.0,12.8,20.5,62.3,168.0,26.7,7.98,11.3,70.5,3.26,5.74,56.8,0.78,1.32,58.8,0.08,0.93,0.16,0.31,0.08,1.01,20.0,0.47,0.0,0.23,0.31,0.23,0.0,0.0,0.0,0.0,0.0,0.08,0.16,2.33,1.63,0.0,0.16,0.23,0.31,0.0,0.39,0.23,0.0,0.16,0.0,0.0,0.0,0.93,0.62,0.31,0.39,0.23,0.16,0.39,40.0,0.23,0.54,0.23,0.31,0.0,0.93,1.16,0.0,31.0,1.55,3.49,14.4,13.6,4.34,31.0,1.55,0.85,55.0,0.54,35.0,18.4,102.2,41.3,1.32,0.7,0.62,2.64,1.24,25.3,4.42,0.23,0.0,0.0,1.71,2.79,1.4,0.0,0.0,0.0,3.02,2.48,1.63,60.4,11000000.0,0.31,0.17,0.52,0.191372,0.0,15,137,9.133333333333333,23,3,0.5426356589147286,0.006201550387596899,0.46357615894039733
esp,fwmf,athletic club,la liga,24,1998,9,0,63,0.7,0,1.43,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,44.3,58.6,75.6,738.6,222.9,24.3,25.7,94.4,14.3,17.1,83.3,4.29,10.0,42.9,1.43,5.71,0.0,4.29,1.43,2.86,57.1,0.0,0.0,0.0,0.0,8.57,0.0,0.0,0.0,0.0,0.0,1.43,0.0,5.71,5.71,0.0,0.0,0.0,0.0,0.0,1.43,1.43,0.0,0.0,0.0,0.0,0.0,1.43,0.0,1.43,0.0,0.0,0.0,1.43,0.0,1.43,0.0,0.0,0.0,1.43,2.86,0.0,0.0,68.6,0.0,12.9,15.7,41.4,4.29,68.6,7.14,4.29,60.0,0.0,0.0,50.0,465.7,282.9,8.57,8.57,1.43,0.0,2.86,51.4,21.4,0.0,0.0,0.0,1.43,1.43,0.0,0.0,0.0,0.0,10.0,0.0,1.43,0.0,1500000.0,0.4285714285714285,0.3035714285714285,0.2678571428571428,-0.1273482142857142,0.0,3,139,46.333333333333336,124,124,0.0,2.0428571428571427,0.0
esp,dffw,villarreal,la liga,30,1992,10,7,606,6.7,0,1.04,0.15,14.3,0.0,0.0,22.8,0.15,0.0,0.0,40.9,50.9,80.4,665.2,183.3,19.9,21.8,91.1,18.1,20.7,87.1,1.79,4.63,38.7,0.0,1.04,1.34,1.49,0.3,2.84,42.4,8.21,1.19,0.0,0.45,2.99,6.12,0.9,0.3,0.45,0.0,0.3,1.04,1.94,1.64,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.3,0.3,0.9,0.3,0.75,1.94,38.5,1.19,1.34,0.15,1.19,1.79,3.28,1.94,0.0,62.1,2.39,16.9,23.3,22.2,1.34,62.1,1.34,0.3,22.2,0.75,55.6,34.0,176.7,93.3,2.09,2.09,0.3,1.04,0.3,38.5,5.67,0.6,0.0,0.0,1.79,0.75,0.15,0.0,0.0,0.0,4.18,1.04,0.9,53.8,1500000.0,0.15625,0.21875,0.625,0.365690625,0.0,11,683,62.09090909090909,195,24,0.0,0.0,0.14423076923076922
esp,df,aston villa,premier league,29,1993,3,1,216,2.4,0,2.5,0.42,16.7,0.0,0.0,19.1,0.0,0.0,0.0,48.3,69.2,69.9,634.6,215.4,27.9,34.2,81.7,16.3,22.5,72.2,0.83,3.75,22.2,0.0,1.25,1.25,1.25,0.83,2.5,59.2,9.58,2.08,0.0,0.0,4.58,7.5,0.0,0.0,0.0,0.0,0.42,2.92,2.08,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.83,0.83,0.0,0.42,0.83,1.25,66.7,0.42,0.83,0.42,0.42,0.0,1.25,1.25,0.42,82.5,2.92,20.4,36.3,26.3,3.75,82.5,3.75,0.83,22.2,2.08,55.6,44.6,198.8,86.3,2.08,1.67,0.83,2.92,1.67,52.5,11.3,0.42,0.0,0.0,2.5,1.67,0.0,0.0,0.0,0.0,7.08,0.83,0.42,66.7,4000000.0,0.5735294117647058,0.0294117647058823,0.3970588235294117,-0.1905426470588235,0.0,11,340,30.90909090909091,119,92,0.0,0.0,0.16799999999999998
esp,df,betis,la liga,29,1993,15,15,1350,15.0,0,0.87,0.27,30.8,0.0,0.0,17.9,0.0,0.0,0.0,35.0,46.3,75.5,519.1,232.9,19.9,22.1,89.8,12.0,16.5,72.9,2.07,4.6,44.9,0.2,0.6,2.53,0.87,0.27,2.93,36.1,10.2,0.87,0.0,0.33,1.87,9.33,0.0,0.0,0.0,0.0,0.07,1.67,1.33,0.87,0.13,0.2,0.13,0.0,0.0,0.27,0.2,0.07,0.0,0.0,0.0,0.0,1.93,1.47,1.27,0.67,0.0,1.2,2.33,51.4,1.13,1.13,0.27,0.87,1.13,3.07,2.6,0.0,58.9,3.93,19.4,24.3,15.8,2.4,58.9,2.67,0.93,35.0,1.4,52.5,26.7,175.2,99.7,3.27,2.4,0.8,1.87,0.4,31.0,5.07,0.07,0.0,0.0,1.13,1.27,0.07,0.0,0.07,0.0,5.2,0.6,1.2,33.3,4000000.0,0.5735294117647058,0.0294117647058823,0.3970588235294117,-0.1905426470588235,0.0,11,340,30.90909090909091,119,92,0.0,0.013333333333333334,0.3103448275862069
esp,fw,villarreal,la liga,30,1992,12,11,919,10.2,5,2.75,1.18,42.9,0.14,0.33,15.8,0.0,0.1,0.2,22.4,31.8,70.4,360.9,93.2,10.6,14.1,75.0,9.12,12.1,75.6,1.96,2.35,83.3,0.2,1.47,2.16,1.47,0.1,4.41,30.0,1.27,0.0,0.29,0.2,0.59,0.1,0.0,0.0,0.0,0.0,0.49,1.37,3.04,2.35,0.0,0.29,0.39,0.0,0.0,0.29,0.2,0.0,0.0,0.1,0.0,0.0,0.69,0.49,0.0,0.39,0.29,0.2,0.29,66.7,0.1,0.49,0.2,0.29,0.29,0.98,0.88,0.0,42.4,1.47,3.14,18.8,21.4,5.0,42.2,3.14,1.47,46.9,1.37,43.8,26.2,129.0,53.1,1.27,1.47,0.88,2.35,1.57,33.4,8.14,0.2,0.0,0.0,0.69,0.69,0.98,0.0,0.0,0.0,1.86,1.18,0.98,54.5,3000000.0,0.216867469879518,0.1566265060240964,0.6265060240963856,0.2951855421686747,0.0,12,438,36.5,78,65,0.4901960784313726,0.019607843137254905,0.4290909090909091
col,mfdf,troyes,ligue 1,26,1996,2,0,13,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,75.0,400.0,100.0,20.0,20.0,100.0,10.0,10.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,30.0,66.7,10.0,10.0,10.0,0.0,0.0,20.0,0.0,0.0,80.0,0.0,40.0,30.0,10.0,0.0,80.0,10.0,0.0,0.0,0.0,0.0,50.0,300.0,0.0,0.0,0.0,0.0,0.0,20.0,50.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,50.0,650000.0,0.2549019607843137,0.3725490196078431,0.3725490196078431,0.0634823529411764,0.0,3,58,19.33333333333333,31,13,0.0,0.0,0.0
esp,mfdf,elche,la liga,26,1996,15,9,802,8.9,0,1.35,0.34,25.0,0.0,0.0,17.3,0.0,0.0,0.0,25.1,33.4,75.1,371.0,98.2,15.5,17.8,87.3,6.29,8.65,72.7,2.13,3.71,57.6,0.0,0.45,2.13,0.45,0.22,2.7,29.6,3.82,0.79,0.0,0.0,3.37,2.47,0.56,0.22,0.11,0.0,0.0,1.69,1.91,1.24,0.34,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.67,0.56,0.56,0.11,0.45,1.01,44.4,0.56,1.24,0.11,1.12,0.56,1.8,1.12,0.0,45.3,2.02,7.53,17.3,20.9,1.8,45.3,2.47,0.67,27.3,1.8,72.7,26.1,147.1,61.9,2.13,1.57,0.67,2.02,0.67,30.2,6.4,0.34,0.0,0.0,1.91,1.35,0.56,0.0,0.0,0.0,3.6,0.9,0.56,61.5,2000000.0,0.7192982456140351,0.1403508771929824,0.1403508771929824,-0.4966771929824561,0.0,2,19,9.5,12,12,0.0,0.0,0.2518518518518518
gui,mf,valencia,la liga,20,2003,13,6,570,6.3,0,2.06,0.63,30.8,0.0,0.0,19.5,0.0,0.0,0.0,35.1,42.2,83.1,531.0,150.3,20.5,23.2,88.4,11.4,14.0,81.8,2.54,2.86,88.9,0.16,1.11,3.97,0.79,0.16,5.56,41.1,0.79,0.32,0.32,0.32,0.16,0.32,0.0,0.0,0.0,0.0,0.32,0.32,3.02,2.38,0.16,0.16,0.16,0.16,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,2.86,1.59,1.11,1.27,0.48,1.43,1.9,75.0,0.48,0.79,0.0,0.79,0.48,3.33,1.11,0.0,55.9,1.59,10.6,27.6,18.3,1.9,55.9,3.17,1.27,40.0,1.11,35.0,35.7,187.1,92.1,1.75,1.11,0.32,2.54,1.11,39.8,2.38,0.63,0.16,0.16,3.02,3.49,0.0,0.0,0.0,0.0,6.83,1.75,0.95,64.7,6000000.0,0.2622950819672131,0.2459016393442623,0.4918032786885246,0.1829803278688524,0.0,5,104,20.8,43,16,0.0,0.025396825396825397,0.3058252427184466
esp,mf,villarreal,la liga,24,1999,4,2,158,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.6,78.3,331.1,83.9,10.6,11.7,90.5,7.22,8.33,86.7,2.22,3.89,57.1,0.0,0.0,3.33,0.0,0.0,3.33,23.3,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,1.11,1.11,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.11,1.11,0.56,0.0,1.67,1.67,100.0,0.0,1.67,1.11,0.56,0.56,2.22,1.11,0.0,33.3,2.78,8.33,18.9,6.11,0.0,33.3,0.0,0.0,0.0,0.0,0.0,17.2,70.6,27.2,0.56,0.56,0.0,0.0,0.56,20.0,0.56,0.0,0.56,0.0,0.56,0.56,0.0,0.0,0.0,0.0,2.78,0.56,1.11,33.3,2500000.0,0.6551724137931034,0.0862068965517241,0.2586206896551724,-0.3278068965517241,0.0,9,442,49.11111111111112,122,41,0.0,0.0,0.0
esp,mf,mallorca,la liga,24,1999,1,0,27,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,56.7,88.2,936.7,180.0,23.3,23.3,100.0,16.7,23.3,71.4,10.0,10.0,100.0,0.0,0.0,3.33,3.33,0.0,3.33,56.7,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,3.33,0.0,0.0,0.0,3.33,0.0,3.33,3.33,0.0,3.33,0.0,3.33,3.33,0.0,66.7,6.67,13.3,33.3,20.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,36.7,136.7,66.7,3.33,0.0,0.0,0.0,0.0,40.0,3.33,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,0.6551724137931034,0.0862068965517241,0.2586206896551724,-0.3278068965517241,0.0,9,442,49.11111111111112,122,41,0.0,0.0,0.0
cro,mf,bologna,serie a,24,1998,9,4,418,4.6,0,1.09,0.22,20.0,0.0,0.0,29.8,0.0,0.0,0.0,39.8,52.6,75.6,772.4,258.9,14.6,19.1,76.1,17.8,21.1,84.5,6.52,9.57,68.2,0.22,1.09,5.87,0.65,0.0,6.74,50.7,1.52,1.09,0.22,1.09,0.65,0.43,0.0,0.0,0.0,0.0,0.43,0.87,2.61,2.61,0.0,0.0,0.0,0.0,0.0,0.43,0.43,0.0,0.0,0.0,0.0,0.0,1.74,0.87,0.65,1.09,0.0,0.65,1.74,37.5,1.09,1.3,0.0,1.3,0.65,2.39,1.3,0.0,60.9,2.39,14.8,38.0,8.91,0.43,60.9,0.87,0.87,100.0,0.0,0.0,32.6,115.0,47.4,0.22,0.65,0.0,0.43,0.0,38.7,2.17,0.0,0.0,0.0,0.65,0.43,0.0,0.0,0.0,0.0,7.83,1.3,1.09,54.5,4500000.0,0.6,0.1454545454545454,0.2545454545454545,-0.3318909090909091,0.0,3,202,67.33333333333333,181,4,0.0,0.04782608695652174,0.20183486238532108
esp,fw,betis,la liga,29,1993,2,0,15,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,75.0,145.0,0.0,15.0,15.0,100.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,55.0,5.0,10.0,25.0,20.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,3000000.0,0.5172413793103449,0.2241379310344827,0.2586206896551724,-0.2624620689655172,0.0,1,9,9.0,9,9,0.0,0.0,0.0
col,df,valencia,la liga,18,2004,3,1,145,1.6,0,1.25,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,33.1,40.6,81.5,517.5,196.3,18.1,20.6,87.9,12.5,14.4,87.0,2.5,5.63,44.4,0.0,0.0,0.0,0.0,0.0,0.63,28.8,11.9,0.0,0.0,0.0,0.63,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.25,1.88,0.63,0.0,2.5,3.13,80.0,0.63,0.63,0.0,0.63,0.63,3.13,3.13,0.0,50.6,6.88,28.8,16.3,5.63,1.25,50.6,0.0,0.0,0.0,0.0,0.0,23.8,112.5,38.1,0.0,0.63,0.0,1.25,0.0,23.8,0.63,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,5.0,1.88,1.25,60.0,35000000.0,0.559322033898305,0.0508474576271186,0.3898305084745763,-0.1413474576271186,0.0,0,0,0.0,0,0,0.0,0.0,0.0
por,fwmf,monza,serie a,24,1998,15,11,996,11.1,3,1.35,0.36,26.7,0.2,0.75,10.3,0.0,0.0,0.0,19.0,28.1,67.6,269.8,34.1,11.5,14.9,77.6,5.77,8.47,68.1,0.9,1.53,58.8,0.0,0.99,0.72,0.63,0.36,1.26,26.7,1.44,0.09,0.09,0.18,2.52,0.27,0.0,0.0,0.0,0.0,0.0,1.71,2.7,1.98,0.0,0.18,0.27,0.27,0.0,0.18,0.0,0.0,0.09,0.0,0.09,0.0,0.45,0.36,0.0,0.18,0.27,0.09,0.18,50.0,0.09,0.45,0.09,0.36,0.18,0.63,1.26,0.0,39.9,1.35,2.97,18.0,19.1,4.41,39.9,2.79,1.17,41.9,1.17,41.9,24.8,176.6,68.2,3.33,1.8,1.35,4.23,2.07,30.4,7.93,0.09,0.0,0.0,1.26,1.71,0.9,0.09,0.0,0.0,2.79,1.8,2.61,40.8,3500000.0,0.7454545454545455,0.0727272727272727,0.1818181818181818,-0.4969345454545454,0.0,13,146,11.23076923076923,27,10,0.2702702702702703,0.0,0.26666666666666666
