Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Javier Eduardo López,27,Attacking Midfield,Mexico,2.5,Pachuca,Liga MX Clausura,Mexico,Unknown,0.0
Adel Taarabt,33,Central Midfield,Morocco,2.5,Al-Nasr SC,UAE Pro League,United Arab Emirates,Free,0.0
Alessandro Schöpf,28,Right Midfield,Austria,2.5,Vancouver,MLS,Canada,Free,0.0
Magomed Ozdoev,29,Central Midfield,Russia,2.5,Karagümrük,Süper Lig,Turkey,Free,0.0
Diego Lainez,22,Right Winger,Mexico,2.5,Tigres UANL,Liga MX Clausura,Mexico,Loan,0.0
Vladimir Loroña,23,Right-Back,Mexico,2.5,Tigres UANL,Liga MX Clausura,Mexico,Unknown,0.0
Joe Lolley,29,Right Winger,England,2.5,Sydney FC,A-League Men,Australia,Free,0.0
Idekel Domínguez,22,Right-Back,Mexico,2.5,Atlas,Liga MX Clausura,Mexico,Unknown,0.0
Edison Flores,28,Left Winger,Peru,2.5,Atlas,Liga MX Clausura,Mexico,Unknown,0.0
Mauro Manotas,26,Centre-Forward,Colombia,2.5,Atlas,Liga MX Clausura,Mexico,Unknown,0.0
Chase Gasper,27,Left-Back,United States,2.5,Houston,MLS,United States,Free,0.0
Mariusz Stepinski,27,Centre-Forward,Poland,2.5,Aris Limassol,Protathlima Cyta,Cyprus,Loan,0.0
Richie Laryea,27,Right-Back,Canada,2.5,Toronto,MLS,Canada,Loan,0.0
Mamadou Mbacke,19,Centre-Back,Senegal,2.5,Villarreal CF B,LaLiga2,Spain,Loan,0.0
Toni Villa,27,Left Winger,Spain,2.5,Girona,LaLiga,Spain,Free,0.0
Nico Serrano,19,Left Winger,Spain,2.5,CD Mirandés,LaLiga2,Spain,Loan,0.0
Darlan,24,Defensive Midfield,Brazil,2.5,Chapecoense,Série B,Brazil,Loan,0.0
Álvaro González,32,Centre-Back,Spain,2.5,Al-Nassr FC,Saudi Pro League,Saudi Arabia,Free,0.0
Sebastián Lomónaco,24,Centre-Forward,Argentina,2.5,La Calera,Primera División,Chile,Free,0.0
Valon Berisha,29,Central Midfield,Kosovo,2.5,Melbourne City,A-League Men,Australia,Loan,0.0
Deyverson,31,Centre-Forward,Brazil,2.5,Cuiabá-MT,Série A,Brazil,Free,0.0
Morgan Schneiderlin,33,Defensive Midfield,France,2.5,Western Sydney,A-League Men,Australia,Loan,0.0
Daniel Bessa,29,Central Midfield,Italy,2.5,Ittihad Kalba,UAE Pro League,United Arab Emirates,Free,0.0
Aké Loba,24,Centre-Forward,Cote d'Ivoire,2.5,Mazatlán FC,Liga MX Clausura,Mexico,Loan,0.0
Jorge Meré,25,Centre-Back,Spain,2.5,Mazatlán FC,Liga MX Clausura,Mexico,Loan,0.0
Juan José Perea,22,Centre-Forward,Colombia,1.2,VfB Stuttgart,Bundesliga,Germany,Permanent,2.4
Arthur Chaves,21,Centre-Back,Brazil,0.5,Académico Viseu,Liga Sabseg,Portugal,Permanent,2.4
Ernesto Torregrossa,30,Centre-Forward,Venezuela,2.4,Pisa,Serie B,Italy,Permanent,1.8
Matías Cóccaro,24,Centre-Forward,Uruguay,2.4,Huracán,Liga Profesional,Argentina,Permanent,4.65
Luca Mazzitelli,26,Defensive Midfield,Italy,2.4,Frosinone,Serie B,Italy,Loan,0.0
Antonino La Gumina,26,Centre-Forward,Italy,2.4,Benevento,Serie B,Italy,Loan,0.0
Georgios Koutsias,19,Centre-Forward,Greece,1.2,Chicago,MLS,United States,Permanent,2.36
Pedro Pereira,24,Right-Back,Portugal,2.3,Monza,Serie A,Italy,Permanent,2.87
Daniel Ballard,22,Centre-Back,Northern Ireland,2.0,Sunderland,Championship,England,Permanent,2.3
Josh Bowler,23,Right Winger,England,2.0,Nottm Forest,Premier League,England,Permanent,2.3
Julien Le Cardinal,25,Right-Back,France,1.0,Lens,Ligue 1,France,Permanent,2.3
Mees de Wit,24,Left-Back,Netherlands,1.5,AZ Alkmaar,Eredivisie,Netherlands,Permanent,2.3
Gabriel Rojas,25,Left-Back,Argentina,1.2,Racing Club,Copa de la Liga,Argentina,Permanent,2.3
Eden Karzev,22,Defensive Midfield,Israel,2.0,Basaksehir,Süper Lig,Turkey,Permanent,2.3
Henry Mosquera,21,Left Winger,Colombia,4.0,RB Bragantino,Série A,Brazil,Permanent,2.3
David Nemeth,21,Centre-Back,Austria,2.3,FC St. Pauli,2. Bundesliga,Germany,Permanent,1.3
Andi Zeqiri,23,Centre-Forward,Switzerland,2.3,FC Basel,Super League,Switzerland,Loan,0.0
Danny da Costa,28,Right-Back,Germany,2.3,1.FSV Mainz 05,Bundesliga,Germany,Free,0.0
Ángel Romero,30,Left Winger,Paraguay,2.3,Corinthians,Série A,Brazil,Free,0.0
Benjamin Tetteh,25,Centre-Forward,Ghana,2.3,Hull City,Championship,England,Free,0.0
Mehrdad Mohammadi,28,Right Winger,Iran,2.3,Al-Sailiya SC,Stars League,Qatar,Unknown,0.0
Ángel González,28,Right Winger,Argentina,2.3,LDU Quito,Serie A Segunda Etapa,Ecuador,Unknown,0.0
Günay Güvenc,31,Goalkeeper,Turkey,2.3,Kasimpasa,Süper Lig,Turkey,Loan,0.0
Jure Balkovec,27,Left-Back,Slovenia,2.3,Alanyaspor,Süper Lig,Turkey,Free,0.0
Pedro Pereira,24,Right-Back,Portugal,2.3,Alanyaspor,Süper Lig,Turkey,Loan,0.0
Javier Salas,28,Defensive Midfield,Mexico,2.3,FC Juárez,Liga MX Clausura,Mexico,Unknown,0.0
Wilfried Kanga,24,Centre-Forward,Cote d'Ivoire,2.2,Hertha BSC,Bundesliga,Germany,Permanent,5.0
Tolu Arokodare,22,Centre-Forward,Nigeria,2.2,Amiens SC,Ligue 2,France,Permanent,2.5
Gastón Brugman,29,Defensive Midfield,Uruguay,2.0,Los Angeles,MLS,United States,Permanent,2.2
Ousmane Camara,19,Centre-Back,France,2.0,Angers SCO,Ligue 1,France,Permanent,2.2
Pieros Sotiriou,29,Centre-Forward,Cyprus,2.2,Sanf. Hiroshima,J1 League,Japan,Permanent,2.0
Léo Duarte,25,Centre-Back,Brazil,2.2,Basaksehir,Süper Lig,Turkey,Permanent,2.0
Erik,28,Right Winger,Brazil,2.2,Machida Zelvia,J2 League,Japan,Permanent,1.86
Sebastian Polter,31,Centre-Forward,Germany,2.2,FC Schalke 04,Bundesliga,Germany,Permanent,1.5
Bryan Linssen,31,Centre-Forward,Netherlands,2.2,Urawa Reds,J1 League,Japan,Permanent,1.3
Jean-Luc Dompé,27,Left Winger,France,2.2,Hamburger SV,2. Bundesliga,Germany,Permanent,1.1
Lorenzo Pirola,20,Centre-Back,Italy,2.2,Salernitana,Serie A,Italy,Loan,0.0
Florian Niederlechner,32,Centre-Forward,Germany,2.2,Hertha BSC,Bundesliga,Germany,Permanent,8.0
Samuel Bastien,25,Central Midfield,DR Congo,2.2,Burnley,Championship,England,Permanent,8.0
Rafael Pérez,33,Centre-Back,Colombia,2.2,San Lorenzo,Copa de la Liga,Argentina,Permanent,6.44
Kristijan Bistrovic,24,Central Midfield,Croatia,2.2,Lecce,Serie A,Italy,Loan,0.0
Alexander Jeremejeff,29,Centre-Forward,Sweden,2.2,Panathinaikos,Super League 1,Greece,Permanent,2.7
Facundo Altamirano,26,Goalkeeper,Argentina,2.2,San Lorenzo,Copa de la Liga,Argentina,Loan,0.0
Alex Vigo,23,Right-Back,Argentina,2.2,Red Star,Super liga Srbije,Serbia,Loan,0.0
Paul Seguin,27,Central Midfield,Germany,2.2,Union Berlin,Bundesliga,Germany,Free,0.0
Milos Pantovic,25,Attacking Midfield,Serbia,2.2,Union Berlin,Bundesliga,Germany,Free,0.0
Josep Martínez,24,Goalkeeper,Spain,2.2,Genoa,Serie B,Italy,Loan,0.0
Yassine Benrahou,24,Attacking Midfield,Morocco,2.2,Hajduk Split,SuperSport HNL,Croatia,Free,0.0
Leo Stulac,27,Defensive Midfield,Slovenia,2.2,Palermo,Serie B,Italy,Loan,0.0
Landry Dimata,24,Centre-Forward,Belgium,2.2,NEC Nijmegen,Eredivisie,Netherlands,Loan,0.0
Kjell Scherpen,22,Goalkeeper,Netherlands,2.2,Vitesse,Eredivisie,Netherlands,Loan,0.0
Josh Laurent,27,Central Midfield,England,2.2,Stoke City,Championship,England,Free,0.0
Niels Nkounkou,21,Left-Back,France,2.2,Cardiff,Championship,Wales,Loan,0.0
Marlon,25,Left-Back,Brazil,2.2,Cruzeiro,Série A,Brazil,Free,0.0
André Ayew,33,Left Winger,Ghana,2.2,Nottm Forest,Premier League,England,Free,0.0
Koni De Winter,20,Centre-Back,Belgium,2.2,FC Empoli,Serie A,Italy,Loan,0.0
Paulo Victor,21,Left-Back,Brazil,2.2,Vasco da Gama,Série B,Brazil,Loan,0.0
Charalampos Lykogiannis,28,Left-Back,Greece,2.2,Bologna,Serie A,Italy,Free,0.0
Abdul-Rahman Baba,28,Left-Back,Ghana,2.2,Reading,Championship,England,Loan,0.0
Damián Batallini,26,Right Winger,Argentina,2.2,Necaxa,Liga MX Clausura,Mexico,Loan,0.0
Domingos Quina,22,Central Midfield,Portugal,2.2,Elche CF,LaLiga,Spain,Loan,0.0
